Ticker,Company Name,Year End,Total Sales,Total Expenses
WMT US,WAL-MART STORES INC,12/31/2014,476293988352,460271988736
WMT US,WAL-MART STORES INC,12/31/2013,469162000384,452163000320
WMT US,WAL-MART STORES INC,12/31/2012,446950014976,431251014656
WMT US,WAL-MART STORES INC,12/31/2011,421849006080,405460005888
WMT US,WAL-MART STORES INC,12/31/2010,408214011904,393879012352
WMT US,WAL-MART STORES INC,12/31/2009,405606989824,392206989312
WMT US,WAL-MART STORES INC,12/31/2008,378798997504,366067997696
WMT US,WAL-MART STORES INC,12/31/2007,348650012672,337366012928
WMT US,WAL-MART STORES INC,12/31/2006,312426987520,301195987968
WMT US,WAL-MART STORES INC,12/31/2005,287989006336,277722006528
WMT US,WAL-MART STORES INC,12/31/2004,256329007104,247275006976
WMT US,WAL-MART STORES INC,12/31/2003,229615992832,221660993024
