,ticker,name,date,sales,expenses,profit
0,WMT US,WAL-MART STORES INC,2014-12-31,476293988352,460271988736,16021999616
1,WMT US,WAL-MART STORES INC,2013-12-31,469162000384,452163000320,16999000064
2,WMT US,WAL-MART STORES INC,2012-12-31,446950014976,431251014656,15699000320
3,WMT US,WAL-MART STORES INC,2011-12-31,421849006080,405460005888,16389000192
4,WMT US,WAL-MART STORES INC,2010-12-31,408214011904,393879012352,14334999552
5,WMT US,WAL-MART STORES INC,2009-12-31,405606989824,392206989312,13400000512
6,WMT US,WAL-MART STORES INC,2008-12-31,378798997504,366067997696,12730999808
7,WMT US,WAL-MART STORES INC,2007-12-31,348650012672,337366012928,11283999744
8,WMT US,WAL-MART STORES INC,2006-12-31,312426987520,301195987968,11230999552
9,WMT US,WAL-MART STORES INC,2005-12-31,287989006336,277722006528,10266999808
10,WMT US,WAL-MART STORES INC,2004-12-31,256329007104,247275006976,9054000128
11,WMT US,WAL-MART STORES INC,2003-12-31,229615992832,221660993024,7954999808
