symbol,name,sponsor_level
GOOG,ALPHABET INC.,VISIONARY
AMZN,AMAZON COM INC,SUSTAINABILITY
#N/A,BLOOMBERG,VISIONARY
COF,CAPITAL ONE FINANCIAL CORP,MAINTAINING
GLW,CORNING INC,MAINTAINING
ESTC,ELASTIC N.V.,PARTNER
FB,FACEBOOK INC,SUSTAINABILITY
#N/A,HUAWEI TECHNOLOGIES,SUSTAINABILITY
IBM,INTERNATIONAL BUSINESS MACHINES CORP,CONTRIBUTING
JPM,JPMORGAN CHASE & CO,SUPPORTING
MSFT,MICROSOFT CORP,VISIONARY
NFLX,NETFLIX INC,PARTNER
CRM,SALESFORCE.COM INC.,SUSTAINABILITY
WORK,SLACK TECHNOLOGIES INC.,MAINTAINING
