symbol,name,sponsor_level,amount
GOOG,ALPHABET INC.,VISIONARY,150000
AMZN,AMAZON COM INC,SUSTAINABILITY,90000
#N/A,BLOOMBERG,VISIONARY,150000
COF,CAPITAL ONE FINANCIAL CORP,MAINTAINING,60000
GLW,CORNING INC,MAINTAINING,60000
ESTC,ELASTIC N.V.,PARTNER,7500
FB,FACEBOOK INC,SUSTAINABILITY,90000
#N/A,HUAWEI TECHNOLOGIES,SUSTAINABILITY,90000
IBM,INTERNATIONAL BUSINESS MACHINES CORP,CONTRIBUTING,30000
JPM,JPMORGAN CHASE & CO,SUPPORTING,15000
MSFT,MICROSOFT CORP,VISIONARY,150000
NFLX,NETFLIX INC,PARTNER,7500
CRM,SALESFORCE.COM INC.,SUSTAINABILITY,90000
WORK,SLACK TECHNOLOGIES INC.,MAINTAINING,60000
